Function: NpClose, Syscall ID: 0xf
Function: NpQueryVirtualMemory, Syscall ID: 0x23
Function: NpMapViewOfSection, Syscall ID: 0x28
Function: NpUnmapViewOfSection, Syscall ID: 0x2a
Function: NpOpenFile, Syscall ID: 0x33
Function: NpCreateSection, Syscall ID: 0x4a
Function: ZwAccessCheck, Syscall ID: 0x0
Function: NtWorkerFactoryWorkerReady, Syscall ID: 0x1
Function: NtAcceptConnectPort, Syscall ID: 0x2
Function: ZwMapUserPhysicalPagesScatter, Syscall ID: 0x3
Function: NtWaitForSingleObject, Syscall ID: 0x4
Function: ZwCallbackReturn, Syscall ID: 0x5
Function: NtReadFile, Syscall ID: 0x6
Function: NtDeviceIoControlFile, Syscall ID: 0x7
Function: NtWriteFile, Syscall ID: 0x8
Function: ZwRemoveIoCompletion, Syscall ID: 0x9
Function: ZwReleaseSemaphore, Syscall ID: 0xa
Function: ZwReplyWaitReceivePort, Syscall ID: 0xb
Function: NtReplyPort, Syscall ID: 0xc
Function: NtSetInformationThread, Syscall ID: 0xd
Function: ZwSetEvent, Syscall ID: 0xe
Function: NtClose, Syscall ID: 0xf
Function: ZwQueryObject, Syscall ID: 0x10
Function: NtQueryInformationFile, Syscall ID: 0x11
Function: NtOpenKey, Syscall ID: 0x12
Function: ZwEnumerateValueKey, Syscall ID: 0x13
Function: ZwFindAtom, Syscall ID: 0x14
Function: NtQueryDefaultLocale, Syscall ID: 0x15
Function: ZwQueryKey, Syscall ID: 0x16
Function: NtQueryValueKey, Syscall ID: 0x17
Function: ZwAllocateVirtualMemory, Syscall ID: 0x18
Function: NtQueryInformationProcess, Syscall ID: 0x19
Function: ZwWaitForMultipleObjects32, Syscall ID: 0x1a
Function: ZwWriteFileGather, Syscall ID: 0x1b
Function: NtSetInformationProcess, Syscall ID: 0x1c
Function: ZwCreateKey, Syscall ID: 0x1d
Function: ZwFreeVirtualMemory, Syscall ID: 0x1e
Function: ZwImpersonateClientOfPort, Syscall ID: 0x1f
Function: ZwReleaseMutant, Syscall ID: 0x20
Function: NtQueryInformationToken, Syscall ID: 0x21
Function: ZwRequestWaitReplyPort, Syscall ID: 0x22
Function: ZwQueryVirtualMemory, Syscall ID: 0x23
Function: NtOpenThreadToken, Syscall ID: 0x24
Function: ZwQueryInformationThread, Syscall ID: 0x25
Function: NtOpenProcess, Syscall ID: 0x26
Function: ZwSetInformationFile, Syscall ID: 0x27
Function: ZwMapViewOfSection, Syscall ID: 0x28
Function: ZwAccessCheckAndAuditAlarm, Syscall ID: 0x29
